TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,372294,372294,1,Northeast Four Corners,Northeast Four Corners,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.701250135229387,0.701270430157158,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372302,372302,1,Needleseye,Needleseye,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,35.2537003374997,35.2536998557341,Not Applicable,0,Designated,1990,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-AZ,USA,USA,Not Applicable,Not Applicable
Polygon,372306,372306,1,Nehai Tonkayea Prairie,Nehai Tonkayea Prairie,Natural Area,Natural Area,National,V,Not Applicable,0,0,0,0.367598090522704,0.367598086160609,Not Applicable,0,Designated,1988,Not Reported,Individual landowners,Unknown,Not Reported,State Verified,1848,US-MO,USA,USA,Not Applicable,Not Applicable
Polygon,372310,372310,1,Neitermeier,Neitermeier,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,1.12318365453481,1.12318090467367,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,11111339,11111339,1,Teton County,Teton County,Waterfowl Production Area,Waterfowl Production Area,National,VI,Not Applicable,0,0,0,6.16122655211293,6.16122644479344,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,U.S. Fish and Wildlife Service,Not Reported,State Verified,1848,US-MT,USA,USA,Not Applicable,Not Applicable
Polygon,372314,372314,1,Nelson,Nelson,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.811919263172156,0.811918510733741,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372315,372315,1,Nelson Fen,Nelson Fen,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.318993819021146,0.318993854530394,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372316,372316,1,Springerville Marsh,Springerville Marsh,Wildlife Area,Wildlife Area,National,V,Not Applicable,0,0,0,0.658216994243219,0.658214408531091,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-AZ,USA,USA,Not Applicable,Not Applicable
Polygon,372326,372326,1,Nephi,Nephi,State Wildlife Area,State Wildlife Area,National,V,Not Applicable,0,0,0,0.671543950341182,0.671541305967735,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-UT,USA,USA,Not Applicable,Not Applicable
Polygon,11111340,11111340,1,Toole County,Toole County,Waterfowl Production Area,Waterfowl Production Area,National,VI,Not Applicable,0,0,0,56.1091061473832,56.1091073709867,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,U.S. Fish and Wildlife Service,Not Reported,State Verified,1848,US-MT,USA,USA,Not Applicable,Not Applicable
Polygon,372317,372317,1,Nelson Lake Marsh,Nelson Lake Marsh,Lake,Lake,National,V,Not Applicable,0,0,0,2.10481862184988,2.10481988566837,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,Regional Agency Land,Not Reported,State Verified,1848,US-IL,USA,USA,Not Applicable,Not Applicable
Polygon,372345,372345,1,Franklin Parker,Franklin Parker,Preserve,Preserve,National,V,Not Applicable,0,0,0,0.0749505093406631,0.0749508372090428,Not Applicable,0,Designated,0,Non-profit organisations,Non-profit organisations,Non-Governmental Organization,Not Reported,State Verified,1848,US-NJ,USA,USA,Not Applicable,Not Applicable
Polygon,372350,372350,1,New Prairie,New Prairie,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.240688184685658,0.240687716632028,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,11111341,11111341,1,Ul Bend National Wildlife Refuge_Wilderness Area,Ul Bend National Wildlife Refuge_Wilderness Area,National Wildlife Refuge,National Wildlife Refuge,National,Ib,Not Applicable,0,0,0,77.0113892797904,77.0113866411602,Not Applicable,0,Designated,1976,Federal or national ministry or agency,State,U.S. Fish and Wildlife Service,Not Reported,State Verified,1848,US-MT,USA,USA,Not Applicable,Not Applicable
Polygon,372320,372320,1,Nelson Mountain,Nelson Mountain,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,2.13308744826754,2.13308878268971,Not Applicable,0,Designated,1988,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-UT,USA,USA,Not Applicable,Not Applicable
Polygon,372325,372325,1,Neota,Neota,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,40.1742752544936,40.1742121730672,Not Applicable,0,Designated,1980,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-CO,USA,USA,Not Applicable,Not Applicable
Polygon,372355,372355,1,New Water Mountains,New Water Mountains,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,99.9024327365456,99.9024188755443,Not Applicable,0,Designated,1990,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-AZ,USA,USA,Not Applicable,Not Applicable
Polygon,372358,372358,1,Newberry Mountains,Newberry Mountains,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,112.559246118602,112.559298220572,Not Applicable,0,Designated,1994,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-CA,USA,USA,Not Applicable,Not Applicable
Polygon,11111342,11111342,1,C. J. Strike,C. J. Strike,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,41.8691846014059,41.8692278703271,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,"U.S. Fish and Wildlife Service ; State Fish and Wildlife",Not Reported,State Verified,1848,US-ID,USA,USA,Not Applicable,Not Applicable
Polygon,11111344,11111344,1,Lenore,Lenore,Game Range,Game Range,National,V,Not Applicable,0,0,0,24.9708125383164,24.9707808403285,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,U.S. Fish and Wildlife Service,Not Reported,State Verified,1848,US-WA,USA,USA,Not Applicable,Not Applicable
Polygon,372333,372333,1,Neskowin Crest,Neskowin Crest,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,4.72941835102115,4.7294055256441,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-OR,USA,USA,Not Applicable,Not Applicable
Polygon,372334,372334,1,Nessel,Nessel,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.2907973888324,0.290796911953297,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372339,372339,1,Never Summer,Never Summer,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,84.3653938144078,84.3655254910986,Not Applicable,0,Designated,1980,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-CO,USA,USA,Not Applicable,Not Applicable
Polygon,372361,372361,1,Newstrom Lake,Newstrom Lake,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,3.2157097858005,3.21568428824158,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372528,372528,1,Numo,Numo,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.565095005760335,0.565094498271868,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372529,372529,1,Nunivak Island,Nunivak Island,Refuge,Refuge,National,IV,Not Applicable,2,0,7.38412579289284,7.38412579099584,7.38412579289284,Not Reported,0,Designated,1960,Sub-national ministry or agency,State,State Department of Natural Resources,Not Reported,State Verified,1848,US-AK,USA,USA,Not Applicable,Not Applicable
Polygon,372377,372377,1,Nine Mile Creek,Nine Mile Creek,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,0.757400147435741,0.757400147445946,Not Applicable,0,Designated,1969,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
Polygon,372378,372378,1,Nine Penny Branch (Run Woods),Nine Penny Branch (Run Woods),Nature Preserve,Nature Preserve,National,V,Not Applicable,0,0,0,0.488856276211739,0.488854113066044,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Department of Natural Resources,Not Reported,State Verified,1848,US-IN,USA,USA,Not Applicable,Not Applicable
Polygon,372407,372407,1,Noordmans,Noordmans,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,1.32132238804783,1.32130819681739,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372383,372383,1,Aukiki Wetland,Aukiki Wetland,Conservation Area,Conservation Area,National,V,Not Applicable,0,0,0,1.82673307789735,1.82673582669363,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-IN,USA,USA,Not Applicable,Not Applicable
Polygon,372392,372392,1,Noatak,Noatak,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,23556.1900449842,23556.1897259022,Not Applicable,0,Designated,1980,Federal or national ministry or agency,State,National Park Service,Not Reported,State Verified,1848,US-AK,USA,USA,Not Applicable,Not Applicable
Polygon,372400,372400,1,William Brewer/scatter Creek,William Brewer/scatter Creek,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,16.2021797102929,16.2021834088021,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-AR,USA,USA,Not Applicable,Not Applicable
Polygon,372408,372408,1,Nopah Range,Nopah Range,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,451.728163155677,451.728222823398,Not Applicable,0,Designated,1994,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,"US-CA ; US-NV",USA,USA,Not Applicable,Not Applicable
Polygon,372533,372533,1,Nycklemoe,Nycklemoe,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.841657019344941,0.841656893365832,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,44443564,44443564,1,Black Swan,Black Swan,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,3.44735251478093,3.44735761667738,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-ND,USA,USA,Not Applicable,Not Applicable
Polygon,372410,372410,1,Nora,Nora,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,1.09130455252496,1.09130378363161,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372413,372413,1,Norman T. Dahlman,Norman T. Dahlman,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.1668412692686,0.166841272313895,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372420,372420,1,North Absaroka,North Absaroka,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,1401.5085065075,1401.5086788894,Not Applicable,0,Designated,1964,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,"US-MT ; US-WY",USA,USA,Not Applicable,Not Applicable
Polygon,372421,372421,1,North Algodones Dunes,North Algodones Dunes,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,106.533952955197,106.533914286987,Not Applicable,0,Designated,1994,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-CA,USA,USA,Not Applicable,Not Applicable
Polygon,372424,372424,1,North Black Rock Range,North Black Rock Range,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,124.038893100407,124.038905193497,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-NV,USA,USA,Not Applicable,Not Applicable
Polygon,372747,372747,1,Onstad,Onstad,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,1.13171490824994,1.13171489649933,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372415,372415,1,Norris Woods,Norris Woods,Nature Preserve,Nature Preserve,National,V,Not Applicable,0,0,0,0.303601301522175,0.303600322887437,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,City Land,Not Reported,State Verified,1848,US-IL,USA,USA,Not Applicable,Not Applicable
Polygon,372451,372451,1,"North Fork Silver Creek, Oregon","North Fork Silver Creek, Oregon",Wild and Scenic River,Wild and Scenic River,National,V,Not Applicable,0,0,0,7.83298221235166,7.83296550829035,Not Applicable,0,Designated,2019,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-OR,USA,USA,Not Applicable,Not Applicable
